Weight (pounds),Height (inches)
112.9925,65.78331
136.4873,71.51521
153.0269,69.39874
142.3354,68.2166
144.2971,67.78781
123.3024,68.69784
141.4947,69.80204
136.4623,70.01472
112.3723,67.90265
120.6672,66.78236
127.4516,66.48769
114.143,67.62333
125.6107,68.30248
122.4618,67.11656
116.0866,68.27967
139.9975,71.0916
129.5023,66.461
142.9733,68.64927
137.9025,71.23033
124.0449,67.13118
141.2807,67.83379
143.5392,68.87881
97.90191,63.48115
129.5027,68.42187
141.8501,67.62804
129.7244,67.20864
142.4235,70.84235
131.5502,67.49434
108.3324,66.53401
113.8922,65.44098
103.3016,69.5233
120.7536,65.8132
125.7886,67.8163
136.2225,70.59505
140.1015,71.80484
128.7487,69.20613
141.7994,66.80368
121.2319,67.65893
131.3478,67.80701
106.7115,64.04535
124.3598,68.57463
124.8591,65.18357
139.6711,69.65814
137.3696,67.96731
106.4499,65.98088
128.7639,68.67249
145.6837,66.88088
116.819,67.69868
143.6215,69.82117
134.9325,69.08817
147.0219,69.91479
126.3285,67.33182
125.4839,70.26939
115.7084,69.10344
123.4892,65.38356
147.8926,70.18447
155.8987,70.40617
128.0742,66.54376
119.3701,66.36418
133.8148,67.537
128.7325,66.50418
137.5453,68.99958
129.7604,68.30355
128.824,67.01255
135.3165,70.80592
109.6113,68.21951
142.4684,69.05914
132.749,67.73103
103.5275,67.21568
124.7299,67.36763
129.3137,65.27033
134.0175,70.84278
140.3969,69.92442
102.8351,64.28508
128.5214,68.2452
120.2991,66.35708
138.6036,68.36275
132.9574,65.4769
115.6233,69.71947
122.524,67.72554
134.6254,68.63941
121.8986,66.78405
155.3767,70.05147
128.9418,66.27848
129.1013,69.20198
139.4733,69.13481
140.8901,67.36436
131.5916,70.09297
121.1232,70.1766
131.5127,68.22556
136.5479,68.12932
141.4896,70.24256
140.6104,71.48752
112.1413,69.20477
133.457,70.06306
131.8001,70.55703
120.0285,66.28644
123.0972,63.42577
128.1432,66.76711
115.4759,68.88741
102.0927,64.87434
130.353,67.09272
134.1842,68.34761
98.64133,65.61073
114.5599,67.75551
123.4917,68.0212
123.048,67.66193
126.4772,66.3146
128.417,69.43706
127.1941,63.83624
122.0562,67.72277
127.6064,70.05098
131.6423,70.18602
111.8955,65.94588
122.039,70.007
128.5547,68.61129
132.6792,68.80817
136.0632,69.76212
115.9403,65.45539
136.9041,68.82534
119.8804,65.8003
109.0055,67.21474
128.2705,69.42021
135.2913,68.94396
106.8558,67.9415
123.2939,65.62506
109.5143,66.49607
119.3087,67.92809
140.2402,68.89415
133.9841,70.241
132.5807,68.26623
130.6988,71.23161
115.5637,69.09747
123.7941,64.39693
128.1427,71.09585
135.9646,68.21868
116.6273,65.91721
126.8241,67.4369
151.3913,73.90107
130.4022,69.98149
136.2068,69.51862
113.3989,65.18437
125.3287,68.00869
127.5846,68.3384
107.1564,65.18417
116.4588,68.26209
133.8402,68.56865
112.8901,64.49675
130.7568,68.71053
137.7571,68.89148
125.4036,69.54011
138.4659,67.39964
120.8184,66.47521
140.1539,66.01217
136.7397,72.44434
106.1139,64.12642
158.9562,70.98112
108.7868,67.50124
138.7758,72.01515
115.9136,65.31143
146.2922,67.07509
109.8765,64.39148
139.0499,69.37003
119.9001,68.37921
128.3069,65.31018
127.2428,67.1369
115.2306,68.39468
124.7975,66.2918
126.9511,67.1866
111.2711,65.99156
122.6089,69.43393
124.2084,67.97463
124.6453,67.76133
119.5169,65.27864
139.2983,73.83364
104.8265,66.81312
123.0424,66.89411
118.8923,65.73568
121.4939,65.98283
119.2488,66.58396
135.0239,67.11294
116.228,65.87481
109.1731,66.78067
124.2237,68.73577
141.1645,66.22666
129.1501,65.95968
127.8693,68.58372
120.9244,66.59347
127.6466,66.96574
101.4693,68.08015
144.9927,70.19025
110.9523,65.52149
132.8625,67.45905
146.3385,67.40985
145.5894,69.66158
120.8431,65.79799
115.7813,66.10558
128.3019,68.23987
127.4718,68.02403
127.8761,71.39044
121.4997,65.7316
112.7148,66.43358
135.002,70.01309
128.6789,69.48146
124.4062,68.62764
140.026,68.36275
117.519,68.39028
143.8737,68.77413
141.1703,69.9236
155.9414,71.55542
134.0093,68.44764
130.0975,66.71398
106.2265,66.68413
112.0489,67.93699
136.1884,68.89855
131.236,67.29191
131.3231,69.57212
